"No","大分類","小分類","設問主旨","難易度","設問内容"
"link:ans_preprocess_knock_SQL.html#s-019[S-019,window=ANS100]","ソート","順位","・順位付けする（同一順位あり）","★★","レシート明細テーブル（receipt）に対し、1件あたりの売上金額（amount）が高い順にランクを付与し、先頭10件を抽出せよ。項目は顧客ID（customer_id）、売上金額（amount）、付与したランクを表示させること。なお、売上金額（amount）が等しい場合は同一順位を付与するものとする。"
"link:ans_preprocess_knock_SQL.html#s-020[S-020,window=ANS100]","ソート","順位","・順位付けする（同一順位なし）","★★","レシート明細テーブル（receipt）に対し、1件あたりの売上金額（amount）が高い順にランクを付与し、先頭10件を抽出せよ。項目は顧客ID（customer_id）、売上金額（amount）、付与したランクを表示させること。なお、売上金額（amount）が等しい場合でも別順位を付与すること。"
"link:ans_preprocess_knock_SQL.html#s-021[S-021,window=ANS100]","集計","カウント","・データの件数をカウントする","★","レシート明細テーブル（receipt）に対し、件数をカウントせよ。"
"link:ans_preprocess_knock_SQL.html#s-022[S-022,window=ANS100]","集計","カウント","・データのユニーク件数をカウントする","★","レシート明細テーブル（receipt）の顧客ID（customer_id）に対し、ユニーク件数をカウントせよ。"
"link:ans_preprocess_knock_SQL.html#s-023[S-023,window=ANS100]","集計","合計","・対象データの合計値を算出する","★","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに売上金額（amount）と売上数量（quantity）を合計せよ。"
"link:ans_preprocess_knock_SQL.html#s-024[S-024,window=ANS100]","集計","Max/Min","・対象データの最大値を求める","★","レシート明細テーブル（receipt）に対し、顧客ID（customer_id）ごとに最も新しい売上日（sales_ymd）を求め、10件表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-025[S-025,window=ANS100]","集計","Max/Min","・対象データの最小値を求める","★","レシート明細テーブル（receipt）に対し、顧客ID（customer_id）ごとに最も古い売上日（sales_ymd）を求め、10件表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-026[S-026,window=ANS100]","集計","Max/Min","・集計結果に対する条件指定で絞り込む","★","レシート明細テーブル（receipt）に対し、顧客ID（customer_id）ごとに最も新しい売上日（sales_ymd）と古い売上日を求め、両者が異なるデータを10件表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-027[S-027,window=ANS100]","集計","統計量","・対象データの平均値を求める","★","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに売上金額（amount）の平均を計算し、降順でTOP5を表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-028[S-028,window=ANS100]","集計","統計量","・対象データの中央値を求める","★","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに売上金額（amount）の中央値を計算し、降順でTOP5を表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-029[S-029,window=ANS100]","集計","統計量","・対象データの最頻値を求める","★★ (実質 ★★★)","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに商品コードの最頻値を求めよ。"
"link:ans_preprocess_knock_SQL.html#s-030[S-030,window=ANS100]","集計","統計量","・対象データの分散を求める","★","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに売上金額（amount）の標本分散を計算し、降順にTOP5を表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-031[S-031,window=ANS100]","集計","統計量","・対象データの標準偏差を求める","★","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに売上金額（amount）の標本標準偏差を計算し、降順にTOP5を表示せよ。"
"link:ans_preprocess_knock_SQL.html#s-032[S-032,window=ANS100]","集計","統計量","・データのパーセンタイル値を求める","★","レシート明細テーブル（receipt）に対し、売上金額（amount）について25％刻みでパーセンタイル値を求めよ。"
"link:ans_preprocess_knock_SQL.html#s-033[S-033,window=ANS100]","集計","統計量","・集計結果に対する条件指定で絞り込む","★","レシート明細テーブル（receipt）に対し、店舗コード（store_cd）ごとに売上金額（amount）の平均を計算し、330以上のものを抽出せよ。"
"link:ans_preprocess_knock_SQL.html#s-034[S-034,window=ANS100]","副問合せ","検索結果からのサブクエリ","・検索結果から集計する","★","レシート明細テーブル（receipt）に対し、顧客ID（customer_id）ごとに売上金額（amount）を合計して全顧客の平均を求めよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。"
"link:ans_preprocess_knock_SQL.html#s-035[S-035,window=ANS100]","副問合せ","条件指定でのサブクエリ","・検索結果を条件指定に使った副問合せを行う","★★","レシート明細テーブル（receipt）に対し、顧客ID（customer_id）ごとに販売金額（amount）を合計して全顧客の平均を求め、平均以上に買い物をしている顧客を抽出せよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。なお、データは10件だけ表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-036[S-036,window=ANS100]","結合","単一キー","・一項目の結合キーを使ってテーブルを結合する","★","レシート明細テーブル（receipt）と店舗テーブル（store）を内部結合し、レシート明細テーブルの全項目と店舗テーブルの店舗名（store_name）を10件表示させよ。"
"link:ans_preprocess_knock_SQL.html#s-037[S-037,window=ANS100]","結合","複数キー","・複数の結合キーを使ってテーブルを結合する","★","商品テーブル（product）とカテゴリテーブル（category）を内部結合し、商品テーブルの全項目とカテゴリテーブルの小区分名（category_small_name）を10件表示させよ。"
"link:ans_preprocess_knock_SQL.html#s-038[S-038,window=ANS100]","結合","左外部結合","・左外部結合でデータを残す","★","顧客テーブル（customer）とレシート明細テーブル（receipt）から、各顧客ごとの売上金額合計を求めよ。ただし、買い物の実績がない顧客については売上金額を0として表示させること。また、顧客は性別コード（gender_cd）が女性（1）であるものを対象とし、非会員（顧客IDが'Z'から始まるもの）は除外すること。なお、結果は10件だけ表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-039[S-039,window=ANS100]","結合","完全外部結合","・完全外部結合ですべてのレコードを残す","★ (実質 ★★)","レシート明細テーブル（receipt）から売上日数の多い顧客の上位20件と、売上金額合計の多い顧客の上位20件を抽出し、完全外部結合せよ。ただし、非会員（顧客IDが'Z'から始まるもの）は除外すること。"
"link:ans_preprocess_knock_SQL.html#s-040[S-040,window=ANS100]","結合","クロス結合","・クロス結合ですべてのレコードの組合せを作成する","★★ (実質 ★)","全ての店舗と全ての商品を組み合わせると何件のデータとなるか調査したい。店舗（store）と商品（product）を直積した件数を計算せよ。"
"link:ans_preprocess_knock_SQL.html#s-041[S-041,window=ANS100]","結合","自己結合による時系列のずらし","・n件前のデータを結合する","★★","レシート明細テーブル（receipt）の売上金額（amount）を日付（sales_ymd）ごとに集計し、前日からの売上金額増減を計算せよ。なお、計算結果は10件表示すればよい。"
"link:ans_preprocess_knock_SQL.html#s-042[S-042,window=ANS100]","結合","自己結合による時系列のずらし","・過去n件のデータを結合する","★★","レシート明細テーブル（receipt）の売上金額（amount）を日付（sales_ymd）ごとに集計し、各日付のデータに対し、１日前、２日前、３日前のデータを結合せよ。結果は10件表示すればよい。"
"link:ans_preprocess_knock_SQL.html#s-043[S-043,window=ANS100]","縦横変換","縦から横への変換","・縦持ちデータを横持ちデータに変換する","★ (実質★★)","レシート明細テーブル（receipt）と顧客テーブル（customer）を結合し、性別（gender）と年代（ageから計算）ごとに売上金額（amount）を合計した売上サマリテーブル（sales_summary）を作成せよ。性別は0が男性、1が女性、9が不明を表すものとする。ただし、項目構成は年代、女性の売上金額、男性の売上金額、性別不明の売上金額の4項目とすること（縦に年代、横に性別のクロス集計）。また、年代は10歳ごとの階級とすること。"
"link:ans_preprocess_knock_SQL.html#s-044[S-044,window=ANS100]","縦横変換","横から縦への変換","・横持ちデータを縦持ちデータに変換する","★","前設問で作成した売上サマリテーブル（sales_summary）は性別の売上を横持ちさせたものであった。このテーブルから性別を縦持ちさせ、年代、性別コード、売上金額の3項目に変換せよ。ただし、性別コードは男性を'00'、女性を'01'、不明を'99'とする。"
"link:ans_preprocess_knock_SQL.html#s-045[S-045,window=ANS100]","データ変換","日付型からの変換","・日付型データを文字列データに変換する","★","顧客テーブル（customer）の生年月日（birth_day）は日付型（Date）でデータを保有している。これをYYYYMMDD形式の文字列に変換し、顧客ID（customer_id）とともに抽出せよ。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-046[S-046,window=ANS100]","データ変換","日付型への変換","・文字データを日付型データに変換する","★","顧客テーブル（customer）の申し込み日（application_date）はYYYYMMDD形式の文字列型でデータを保有している。これを日付型（dateやdatetime）に変換し、顧客ID（customer_id）とともに抽出せよ。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-047[S-047,window=ANS100]","データ変換","日付型への変換","・数値データを日付型データに変換する","★","レシート明細テーブル（receipt）の売上日（sales_ymd）はYYYYMMDD形式の数値型でデータを保有している。これを日付型（dateやdatetime）に変換し、レシート番号(receipt_no)、レシートサブ番号（receipt_sub_no）とともに抽出せよ。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-048[S-048,window=ANS100]","データ変換","日付型への変換","・エポック秒（UNIX時間）を日付型データに変換する","★","レシート明細テーブル（receipt）の売上エポック秒（sales_epoch）は数値型のUNIX秒でデータを保有している。これを日付型（timestamp型）に変換し、レシート番号(receipt_no)、レシートサブ番号（receipt_sub_no）とともに抽出せよ。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-049[S-049,window=ANS100]","データ変換","日付要素の取り出し","・日付データから特定の年だけ取り出す","★","レシート明細テーブル（receipt）の販売エポック秒（sales_epoch）を日付型（timestamp型）に変換し、""年""だけ取り出してレシート番号(receipt_no)、レシートサブ番号（receipt_sub_no）とともに抽出せよ。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-050[S-050,window=ANS100]","データ変換","日付要素の取り出し","・日付データから特定の月だけ取り出す","★","レシート明細テーブル（receipt）の売上エポック秒（sales_epoch）を日付型（timestamp型）に変換し、""月""だけ取り出してレシート番号(receipt_no)、レシートサブ番号（receipt_sub_no）とともに抽出せよ。なお、""月""は0埋め2桁で取り出すこと。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-051[S-051,window=ANS100]","データ変換","日付要素の取り出し","・日付データから特定の日だけ取り出す","★","レシート明細テーブル（receipt）の売上エポック秒（sales_epoch）を日付型（timestamp型）に変換し、""日""だけ取り出してレシート番号(receipt_no)、レシートサブ番号（receipt_sub_no）とともに抽出せよ。なお、""日""は0埋め2桁で取り出すこと。データは10件を抽出すれば良い。"
"link:ans_preprocess_knock_SQL.html#s-052[S-052,window=ANS100]","データ変換","二値化","・数値データを二値(0/1)データに変換する","★","レシート明細テーブル（receipt）の売上金額（amount）を顧客ID（customer_id）ごとに合計の上、売上金額合計に対して2000円以下を0、2000円超を1に2値化し、顧客ID、合計金額とともに10件表示せよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。"
"link:ans_preprocess_knock_SQL.html#s-053[S-053,window=ANS100]","データ変換","二値化","・文字データを二値(0/1)データに変換する","★★","顧客テーブル（customer）の郵便番号（postal_cd）に対し、東京（先頭3桁が100〜209のもの）を1、それ以外のものを0に２値化せよ。さらにレシート明細テーブル（receipt）と結合し、全期間において買い物実績のある顧客数を、作成した2値ごとにカウントせよ。"
"link:ans_preprocess_knock_SQL.html#s-054[S-054,window=ANS100]","データ変換","カテゴリ化","・テキストラベルからカテゴリデータを作成する","★","顧客テーブル（customer）の住所（address）は、埼玉県、千葉県、東京都、神奈川県のいずれかとなっている。都道府県毎にコード値を作成し、顧客ID、住所とともに抽出せよ。値は埼玉県を11、千葉県を12、東京都を13、神奈川県を14とすること。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-055[S-055,window=ANS100]","データ変換","カテゴリ化","・数値からカテゴリデータを作成する","★ (実質★★)","レシート明細テーブル（receipt）の売上金額（amount）を顧客ID（customer_id）ごとに合計し、その合計金額の四分位点を求めよ。その上で、顧客ごとの売上金額合計に対して以下の基準でカテゴリ値を作成し、顧客ID、売上金額合計とともに表示せよ。カテゴリ値は上から順に1〜4とする。結果は10件表示させれば良い。

* 最小値以上第一四分位未満
* 第一四分位以上第二四分位未満
* 第二四分位以上第三四分位未満
* 第三四分位以上
"
"link:ans_preprocess_knock_SQL.html#s-056[S-056,window=ANS100]","データ変換","カテゴリ化","・件数の少ないカテゴリを適切なカテゴリに寄せる","★","顧客テーブル（customer）の年齢（age）をもとに10歳刻みで年代を算出し、顧客ID（customer_id）、生年月日（birth_day）とともに抽出せよ。ただし、60歳以上は全て60歳代とすること。年代を表すカテゴリ名は任意とする。先頭10件を表示させればよい。"
"link:ans_preprocess_knock_SQL.html#s-057[S-057,window=ANS100]","データ変換","カテゴリ化","・カテゴリ同士を組合せた新たなカテゴリを作成する","★","前問題の抽出結果と性別（gender）を組み合わせ、新たに性別×年代の組み合わせを表すカテゴリデータを作成せよ。組み合わせを表すカテゴリの値は任意とする。先頭10件を表示させればよい。"
"link:ans_preprocess_knock_SQL.html#s-058[S-058,window=ANS100]","データ変換","ダミー変数化","・ダミー変数(0/1)に変換する（カテゴリ型→ダミー変数）","★★","顧客テーブル（customer）の性別コード（gender_cd）をダミー変数化し、顧客ID（customer_id）とともに抽出せよ。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-059[S-059,window=ANS100]","数値変換","正規化（z-score）","・平均0、分散1に変換する","★","レシート明細テーブル（receipt）の売上金額（amount）を顧客ID（customer_id）ごとに合計し、合計した売上金額を平均0、標準偏差1に標準化して顧客ID、売上金額合計とともに表示せよ。標準化に使用する標準偏差は、不偏標準偏差と標本標準偏差のどちらでも良いものとする。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-060[S-060,window=ANS100]","数値変換","正規化（Min-Max normalization）","・最小値0、最大値1に変換する","★","レシート明細テーブル（receipt）の売上金額（amount）を顧客ID（customer_id）ごとに合計し、合計した売上金額を最小値0、最大値1に正規化して顧客ID、売上金額合計とともに表示せよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-061[S-061,window=ANS100]","数値変換","対数化","・数値データを対数変換する（常用対数）","★","レシート明細テーブル（receipt）の売上金額（amount）を顧客ID（customer_id）ごとに合計し、合計した売上金額を常用対数化（底=10）して顧客ID、売上金額合計とともに表示せよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-062[S-062,window=ANS100]","数値変換","対数化","・数値データを対数変換する（自然対数）","★","レシート明細テーブル（receipt）の売上金額（amount）を顧客ID（customer_id）ごとに合計し、合計した売上金額を自然対数化(底=e）して顧客ID、売上金額合計とともに表示せよ（ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること）。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-063[S-063,window=ANS100]","四則演算","四則演算","・数値を引き算する","★","商品テーブル（product）の単価（unit_price）と原価（unit_cost）から、各商品の利益額を算出せよ。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-064[S-064,window=ANS100]","四則演算","四則演算","・数値を割り算する","★","商品テーブル（product）の単価（unit_price）と原価（unit_cost）から、各商品の利益率の全体平均を算出せよ。 ただし、単価と原価にはNULLが存在することに注意せよ。"
"link:ans_preprocess_knock_SQL.html#s-065[S-065,window=ANS100]","四則演算","四則演算","・除算結果に対して有効桁数以下を切り捨てる","★","商品テーブル（product）の各商品について、利益率が30%となる新たな単価を求めよ。ただし、1円未満は切り捨てること。そして結果を10件表示させ、利益率がおよそ30％付近であることを確認せよ。ただし、単価（unit_price）と原価（unit_cost）にはNULLが存在することに注意せよ。"
"link:ans_preprocess_knock_SQL.html#s-066[S-066,window=ANS100]","四則演算","小数の扱い","・除算結果に対して有効桁数以下を四捨五入する","★","商品テーブル（product）の各商品について、利益率が30%となる新たな単価を求めよ。今回は、1円未満を四捨五入すること。そして結果を10件表示させ、利益率がおよそ30％付近であることを確認せよ。ただし、単価（unit_price）と原価（unit_cost）にはNULLが存在することに注意せよ。"
"link:ans_preprocess_knock_SQL.html#s-067[S-067,window=ANS100]","四則演算","小数の扱い","・除算結果に対して有効桁数以下を切り上げる","★","商品テーブル（product）の各商品について、利益率が30%となる新たな単価を求めよ。今回は、1円未満を切り上げること。そして結果を10件表示させ、利益率がおよそ30％付近であることを確認せよ。ただし、単価（unit_price）と原価（unit_cost）にはNULLが存在することに注意せよ。"
"link:ans_preprocess_knock_SQL.html#s-068[S-068,window=ANS100]","四則演算","小数の扱い","・乗算結果に対して有効桁数以下を切り捨てる","★","商品テーブル（product）の各商品について、消費税率10%の税込み金額を求めよ。 1円未満の端数は切り捨てとし、結果は10件表示すれば良い。ただし、単価（unit_price）にはNULLが存在することに注意せよ。"
"link:ans_preprocess_knock_SQL.html#s-069[S-069,window=ANS100]","四則演算","集計結果の演算","・集計結果から割合を計算する","★★","レシート明細テーブル（receipt）と商品テーブル（product）を結合し、顧客毎に全商品の売上金額合計と、カテゴリ大区分（category_major_cd）が""07""（瓶詰缶詰）の売上金額合計を計算の上、両者の比率を求めよ。抽出対象はカテゴリ大区分""07""（瓶詰缶詰）の購入実績がある顧客のみとし、結果は10件表示させればよい。"
"link:ans_preprocess_knock_SQL.html#s-070[S-070,window=ANS100]","日付型の計算","経過日数の計算","・2つの日付から経過日数を計算する","★★","レシート明細テーブル（receipt）の売上日（sales_ymd）に対し、顧客テーブル（customer）の会員申込日（application_date）からの経過日数を計算し、顧客ID（customer_id）、売上日、会員申込日とともに表示せよ。結果は10件表示させれば良い（なお、sales_ymdは数値、application_dateは文字列でデータを保持している点に注意）。"
"link:ans_preprocess_knock_SQL.html#s-071[S-071,window=ANS100]","日付型の計算","経過日数の計算","・2つの日付から経過月数を計算する","★★","レシート明細テーブル（receipt）の売上日（sales_ymd）に対し、顧客テーブル（customer）の会員申込日（application_date）からの経過月数を計算し、顧客ID（customer_id）、売上日、会員申込日とともに表示せよ。結果は10件表示させれば良い（なお、sales_ymdは数値、application_dateは文字列でデータを保持している点に注意）。1ヶ月未満は切り捨てること。"
"link:ans_preprocess_knock_SQL.html#s-072[S-072,window=ANS100]","日付型の計算","経過日数の計算","・2つの日付から経過年数を計算する","★★","レシート明細テーブル（receipt）の売上日（sales_ymd）に対し、顧客テーブル（customer）の会員申込日（application_date）からの経過年数を計算し、顧客ID（customer_id）、売上日、会員申込日とともに表示せよ。結果は10件表示させれば良い（なお、sales_ymdは数値、application_dateは文字列でデータを保持している点に注意）。1年未満は切り捨てること。"
"link:ans_preprocess_knock_SQL.html#s-073[S-073,window=ANS100]","日付型の計算","経過時間の計算","・2つの日付から経過時間をエポック秒で計算する","★★","レシート明細テーブル（receipt）の売上日（sales_ymd）に対し、顧客テーブル（customer）の会員申込日（application_date）からのエポック秒による経過時間を計算し、顧客ID（customer_id）、売上日、会員申込日とともに表示せよ。結果は10件表示させれば良い（なお、sales_ymdは数値、application_dateは文字列でデータを保持している点に注意）。なお、時間情報は保有していないため各日付は0時0分0秒を表すものとする。"
"link:ans_preprocess_knock_SQL.html#s-074[S-074,window=ANS100]","日付型の計算","経過時間の計算","・月曜日からの経過日数を計算する","★★★","レシート明細テーブル（receipt）の売上日（sales_ymd）に対し、当該週の月曜日からの経過日数を計算し、売上日、当該週の月曜日付とともに表示せよ。結果は10件表示させれば良い（なお、sales_ymdは数値でデータを保持している点に注意）。"
"link:ans_preprocess_knock_SQL.html#s-075[S-075,window=ANS100]","サンプリング","ランダム","・ランダムサンプリングを行う(単純無作為抽出)","★","顧客テーブル（customer）からランダムに1%のデータを抽出し、先頭から10件データを抽出せよ。"
"link:ans_preprocess_knock_SQL.html#s-076[S-076,window=ANS100]","サンプリング","層化","・カテゴリの割合に応じたサンプリングを行う(層化抽出)","★"," 顧客テーブル（customer）から性別（gender_cd）の割合に基づきランダムに10%のデータを層化抽出データし、性別ごとに件数を集計せよ。"
"link:ans_preprocess_knock_SQL.html#s-077[S-077,window=ANS100]","外れ値・異常値","外れ値除外","・統計的に外れ値を除外する（3σ外の除外）","★","レシート明細テーブル（receipt）の売上金額（amount）を顧客単位に合計し、合計した売上金額の外れ値を抽出せよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。なお、ここでは外れ値を平均から3σ以上離れたものとする。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-078[S-078,window=ANS100]","外れ値・異常値","外れ値除外","・統計的に外れ値を除外する（IQR1.5倍）","★★","レシート明細テーブル（receipt）の売上金額（amount）を顧客単位に合計し、合計した売上金額の外れ値を抽出せよ。ただし、顧客IDが""Z""から始まるのものは非会員を表すため、除外して計算すること。なお、ここでは外れ値を第一四分位と第三四分位の差であるIQRを用いて、「第一四分位数-1.5×IQR」よりも下回るもの、または「第三四分位数+1.5×IQR」を超えるものとする。結果は10件表示させれば良い。"
"link:ans_preprocess_knock_SQL.html#s-079[S-079,window=ANS100]","欠損値","欠損列状況確認","・欠損値がある列を確認する","★","商品テーブル（product）の各項目に対し、欠損数を確認せよ。"
"link:ans_preprocess_knock_SQL.html#s-080[S-080,window=ANS100]","欠損値","欠損レコード削除","・欠損値があるレコードを削除する","★","商品テーブル（product）のいずれかの項目に欠損が発生しているレコードを全て削除した新たなproduct_1を作成せよ。なお、削除前後の件数を表示させ、前設問で確認した件数だけ減少していることも確認すること。"
"link:ans_preprocess_knock_SQL.html#s-081[S-081,window=ANS100]","欠損値","数値補完（平均値）","・平均値を用いて欠損値を補完する","★","単価（unit_price）と原価（unit_cost）の欠損値について、それぞれの平均値で補完した新たなproduct_2を作成せよ。なお、平均値について1円未満は四捨五入とする。補完実施後、各項目について欠損が生じていないことも確認すること。"
"link:ans_preprocess_knock_SQL.html#s-082[S-082,window=ANS100]","欠損値","数値補完（中央値）","・中央値を用いて欠損値を補完する","★"," 単価（unit_price）と原価（unit_cost）の欠損値について、それぞれの中央値で補完した新たなproduct_3を作成せよ。なお、中央値について1円未満は四捨五入とする。補完実施後、各項目について欠損が生じていないことも確認すること。"
"link:ans_preprocess_knock_SQL.html#s-083[S-083,window=ANS100]","欠損値","数値補完（カテゴリごとの中央値）","・カテゴリごとに算出した中央値で欠損値を補完する","★★","単価（unit_price）と原価（unit_cost）の欠損値について、各商品の小区分（category_small_cd）ごとに算出した中央値で補完した新たなproduct_4を作成せよ。なお、中央値について1円未満は四捨五入とする。補完実施後、各項目について欠損が生じていないことも確認すること。"
